job_title,company,location,job_description,skills,job_category
senior data scientist,"Hopper
3.5","new york, ny","about hopper

at hopper, we’re on a mission to make booking travel faster, easier, and more transparent. we are leveraging the power that comes from combining massive amounts of data and machine learning to build the world’s fastest-growing travel app -- one that enables our customers to save money and travel more. with over $235m cad in funding from leading investors in both canada and the us, hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.

recognized as the fastest-growing travel app by forbes and one of the world’s most innovative companies by fast company two years in a row, hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. the app has received high praise in the form of mobile accolades such as the webby award for best travel app of 2019, the google play award for standout startup of 2016 and apple’s app store best of 2015.

take off wit","mobile, million, award, app, travel",data scientist
"data scientist, product analytics","Noom US
4.5","new york, ny","at noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like type-ii diabetes, obesity, and hypertension. our engineering team is at the forefront of this challenge, solving complex technical and ux problems on our mobile apps that center around habits, behavior, and lifestyle.

we are looking for a data scientist to join our data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.

what you'll like about us:
we work on problems that affect the lives of real people. our users depend on us to make positive changes to their health and their lives.
we base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.
we are a data-driven company through and through.
we're a respectful, diverse, and dynamic environment in which engineering is a first-class citizen, and where you'll be able to wo","like, ll, users, lives, proven",data scientist
data science manager,Decode_M,"new york, ny","decode_m

https://www.decode-m.com/

data science manager : job description

we’re hiring a data science manager in our new york office to lead decode_m’s data science team in developing new solutions for our clients and advancing the science of momentum through our proprietary product.

this position, based in new york city, requires an interest in managing decode_m’s data science team, workflow and offerings. it demands excellent organizational skills, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. expect to learn a lot about cool companies, new products, and the latest in analytics, research and strategy.

about you
you have an advanced degree in data science, mathematics, or another highly quantitative field, and are comfortable understanding and utilizing recent academic research in your work.
you have 3+ years of relevant work experience using applied statistics and/or machine learning. bonus points if you’ve work","manager, learn, york, new, science",other
data analyst,"Sapphire Digital
3.4","lyndhurst, nj","sapphire digital seeks a dynamic and driven mid-level data analyst/qa to join our growing new jersey team with experience in the healthcare domain. this role will perform in-depth analysis of our internal data management systems to identify, analyze, and interpret trends and/or patterns in order to provide actionable recommendations for data integrity. the data analyst/qa will work closely with multiple internal teams to collaborate on different stages of the data lifecycle and assist in developing data quality processes.
in this position, you'll be responsible for:
preparing and conducting analyses and studies, needs assessment, and requirements analysis to align systems and solutions
overseing data qa functions to ensure data integrity and accuracy
monitoring all production data processes and validation systems
performing data investigations, root cause analysis, data profiling, and data lineage activities
performing research and provides recommendations for data processes and update","integrity, performing, recommendations, processes, data",data analyst
"director, data science","United Entertainment Group
3.4","new york, ny","director, data science - (200537)
description
edelman intelligence is seeking a director-level data scientist. the person in this role is will work to help drive our predictive analytics business by building out the big data / machine learning / ai capabilities of the predictive intelligence capabilities. this person will contribute significantly towards client deliverables, help develop new analytical approaches and offerings, and mentor more junior team members.

responsibilities:

• assist in the leadership of day to day project execution, including client deliverables, status updates, and project management
• efficiently manage data from disparate sources, distilling into datasets prepared for data science
• execute statistical models to support client projects
• prepare client facing material (example: powerpoint slides and charts), distilling analytical insights effectively into stories for clients
• develop standardized code and processes that can be easily used by the larger te","capabilities, person, director, deliverables, client",other
data scientist,"IFG Companies
2.9","new york, ny","job brief

the ideal candidate will have previous data modeling experience. strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

overview

ifg companies is in search of a data scientist to join its growing predictive modeling team.

the ideal candidate will have previous data modeling experience. strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

responsibilities
build predictive and/or machine learning models in sas
research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
prepare data for modelling and make best/creative use of applicable and available internal or external data
identifying and integrating new datasets that can be leveraged for modeling efforts
support related processes around effectively deploying model to business
effectively communicate results in written, oral and ","background, effectively, space, insurance, modeling",data scientist
quantitative researcher,"PDT Partners
4.4","new york, ny","experience: entry-level (phd program) or experienced (postdoc, faculty, scientific lab, finance industry)

education: phd in math, science, or engineering disciplines
the pdt team - a quantitative investment manager - is hiring new or recent phd graduates and experienced researchers (postdoctoral fellows, faculty, scientific lab, finance industry) to create and improve proprietary trading models and strategies while working closely with a deep bench of senior researchers.

we have a highly successful record of hiring, challenging, and retaining talented researchers from diverse academic backgrounds. individuals interested in conducting innovative research with real-world impact seem to enjoy and excel at the types of problems we like to solve.

pdt researchers work in small, nimble teams where merit and contribution, not seniority, drive the discussion. we strive to foster an intellectually challenging environment that encourages collaboration and innovative ideas.

in our research-dri","finance, lab, challenging, phd, researchers",other
quantitative research associate,Enlightenment Research,"new york, ny","seeking a quant to work with senior researchers in a highly collaborative environment on all aspects of our existing trading system, including the design of novel predictive signals and the enhancement of our algorithms for prediction, trade execution, and portfolio construction. you will have an opportunity to learn about all facets of running a successful quantitative trading business and to meaningfully contribute in every area.
masters or phd degree in science, engineering, economics, or finance is required. candidates who will not have earned such a degree before june 1, 2020, will not be considered.
required qualities are curiosity, fascination with financial markets, drive to succeed, love for all things creative but applied statistics above all, painstaking attention to detail, independence, outstanding communication and social skills, high ethical standards, and the ability to thrive in a high-pressure trading environment.
successful candidates will have common sense, creativi","required, degree, successful, candidates, trading",other
ai scientist,"Paige
5.0","new york, ny","paige is a software company helping pathologists and clinicians make faster, more informed diagnostic and treatment decisions by mining decades of data from the world's experts in cancer care. we are leading a digital transformation in pathology by leveraging advanced artificial intelligence (ai) technology to create value for the oncology clinical team.

paige is the first company to develop clinical grade ai tools for the pathologist, which resulted in our receiving fda breakthrough designation for our first product.

we're looking for ai scientists to join us. in this role you'll be part of a team of world-leading experts in machine learning, computer vision and pathology.

in this role you'll conduct publishable deep learning research using some of the largest digital pathology datasets in the world. you'll be working to save lives by improving the accuracy of cancer detection, classification, and treatment outcome.

recent graduates and phd candidates who will defend soon are welc","experts, cancer, treatment, ll, ai",other
quantitative researcher,"Jane Street
4.8","new york, ny","about the position


at jane street, we consider trading and programming to be two ends of a continuum. as both a trading firm and a tech firm, we have room for people who love to trade, people who love to program, and people everywhere in between. nearly all of our traders write code, and many of our developers trade. the role you carve out for yourself will be largely dependent on your strengths and the types of problems you enjoy thinking about.

researchers at jane street are responsible for building models, strategies, and systems that price and trade a variety of financial instruments. as a mix of the trading and software developer roles, this work involves many things: analyzing large datasets, building and testing models, creating new trading strategies, and writing the code that implements them.

about you
be able to apply logical and mathematical thinking to all kinds of problems. asking great questions is more important than knowing all the answers.
write great code. we most","love, thinking, write, code, trading",other
data scientist,"Quartet Health
3.9","new york, ny","company description:

quartet is a pioneering healthcare technology company striving to improve the lives of people with mental health conditions. we connect people to a personalized care team to get them the right care at the right time. our collaborative technology platform and range of services brings together physicians, mental health providers, and insurance companies to effectively improve patient outcomes and drive down healthcare costs. backed by $153mm in venture funding from top investors like oak hc/ft, gv (formerly google ventures), f-prime capital partners, polaris partners, centene corporation and echo ventures. quartet is headquartered in nyc and is currently operating in several markets across the united states pennsylvania, washington, northern california, new jersey, north carolina, louisiana, and illinois.

about the team & opportunity:

as a data scientist at quartet, you will work on a range of projects -- developing statistical analyses to study impact of quartet ","healthcare, care, partners, range, right",data scientist
data scientist/machine learning,"PulsePoint
4.4","new york, ny","pulsepoint™, a global programmatic advertising platform with specialized healthcare expertise, fuses the science of programmatic targeting, distribution, and optimization with the art of brand engagement. the pulsepoint platform is powered by terabytes of impression-level data, allowing brands to efficiently engage the right audiences at scale while helping publishers increase yield through actionable insights.

our organization has a strong history of utilizing machine learning, contextualization, and targeting to distribute advertising to the right consumers at the right time and create real connections across the internet. we are now taking that knowledge and expertise to solve challenges within healthcare in order to create better health outcomes through radical health personalization™.

the goals of the pulsepoint data science team:
optimize and validate targeting mechanisms for specific health conditions;
improve and optimize our proprietary contextualization and recommendation e","healthcare, optimize, health, advertising, right",data scientist
"data scientist, acorn ai labs","Medidata Solutions
4.3","new york, ny","medidata: conquering diseases together

medidata is leading the digital transformation of life sciences, creating hope for millions of patients. medidata helps generate the evidence and insights to help pharmaceutical, biotech, medical device and diagnostics companies, and academic researchers accelerate value, minimize risk, and optimize outcomes. more than one million registered users across 1,400 customers and partners access the world's most-used platform for clinical development, commercial, and real-world data. medidata, a dassault systèmes company, is headquartered in new york city and has offices around the world to meet the needs of its customers. discover more at www.medidata.com.

acorn ai is one of the largest ai companies exclusively dedicated to life sciences. it’s built on medidata’s platform that includes the industry’s largest structured, standardized and growing clinical trial data repository consisting of 17,000+ trials and 4.5m patients. our team is composed of over","ai, world, largest, patients, sciences",data scientist
data scientist,"Point72
3.9","new york, ny","a career with point72’s mi data team
at point72 mi data, our data scientists sift through petabytes of unstructured data from diverse sources to discover trends and insights that help point72’s portfolio managers create new investment theses. we combine an experiment-based approach with the strongest possible management support and the freedom to innovate unencumbered by bureaucracy. we encourage our data scientists to imagine the impossible, and provide the structure to bring those ideas to market in months, not years.
what you’ll do
our data scientists conduct research through data mining and statistical modeling to discover insights from big data that are used by our investment professionals to make investment decisions. you will have the opportunity to work in a highly collegial environment that emphasizes teaching and learning as a team. in this role, you will:
tackle the challenges of featurizing and modeling large and unstructured data using machine learning and statistical tech","discover, unstructured, scientists, data, investment",data scientist
